,uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
37,429130,5029,1791084,1.6,-1.6,2024-08-21 20:46:27,麻將胡了2,903,gfg_903101_1724244386787_109905,103.17.149.135,1.000000000000
38,3978997,40056,2797610,0.2,0.35,2024-08-21 20:46:27,超级王牌,320,gfg_320101_1724244386693_109591,136.158.71.57,10.000000000000
39,3806448,40056,2797610,0.1,-0.09,2024-08-21 20:46:27,超级王牌,320,gfg_320101_1724244387208_109981,143.44.185.135,10.000000000000
40,3514475,40240,4607576,13.333333333333334,-13.333333333333334,2024-08-21 20:46:29,十倍金牛,804,1725388882804101783,223.204.221.23,0.150000000000
41,4009420,40152,3858661,0.1,-0.096,2024-08-21 20:46:30,大运夺宝,302,gfg_302101_1724244390292_109819,103.186.145.202,10.000000000000
42,4009757,40153,3858739,0.5,-0.5,2024-08-21 20:46:30,超级王牌,320,gfg_320101_1724244390361_109989,131.226.104.21,10.000000000000
43,3514475,40240,4607576,13.333333333333334,-9.333333333333334,2024-08-21 20:46:31,十倍金牛,804,1728390882804101859,223.204.221.23,0.150000000000
44,1492066,5032,1797652,2.0,3.4,2024-08-21 20:46:32,十倍金牛,904,gfg_904101_1724244392245_109922,158.62.63.78,10.000000000000
45,923701,5143,2247099,0.32,0.032,2024-08-21 20:46:33,罗马竞技场,311,gfg_311101_1724244392726_109966,49.237.22.95,5.000000000000
46,3830168,5143,2247099,0.2,-0.2,2024-08-21 20:46:34,招财金猪,324,gfg_324101_1724244394074_109971,182.232.177.166,5.000000000000
47,3514475,40240,4607576,13.333333333333334,-13.333333333333334,2024-08-21 20:46:35,十倍金牛,804,1727395882804101380,223.204.221.23,0.150000000000
48,3588549,40153,3858739,0.125,-0.125,2024-08-21 20:46:36,超级王牌,320,gfg_320101_1724244395925_109791,49.145.119.202,10.000000000000
49,818673,5032,1797652,0.25,-0.24,2024-08-21 20:46:37,超级王牌,320,gfg_320101_1724244397124_109565,120.29.72.114,10.000000000000
50,4009696,40056,2797610,0.2,-0.2,2024-08-21 20:46:37,超级王牌,320,gfg_320101_1724244396671_109939,131.226.99.78,10.000000000000
51,3871597,40056,2797610,0.5,-0.5,2024-08-21 20:46:37,777,307,gfg_307101_1724244397311_109999,131.226.108.95,10.000000000000
52,3804499,40064,2797634,1.2307692307692308,-1.2307692307692308,2024-08-21 20:46:37,十倍金牛,904,gfg_904101_1724244396842_109935,190.102.51.116,0.650000000000
53,3871597,40056,2797610,0.5,-0.5,2024-08-21 20:46:43,777,307,gfg_307101_1724244403071_109999,131.226.108.95,10.000000000000
54,818673,5032,1797652,0.25,-0.25,2024-08-21 20:46:46,超级王牌,320,gfg_320101_1724244406364_109565,120.29.72.114,10.000000000000
55,3588549,40153,3858739,0.125,-0.125,2024-08-21 20:46:46,超级王牌,320,gfg_320101_1724244406371_109791,49.145.119.202,10.000000000000
56,4009420,40152,3858661,0.1,-0.1,2024-08-21 20:46:47,大运夺宝,302,gfg_302101_1724244406621_109819,103.186.145.202,10.000000000000
57,4009757,40153,3858739,0.5,0.125,2024-08-21 20:46:47,超级王牌,320,gfg_320101_1724244407368_109989,131.226.104.21,10.000000000000
