uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
3742447,40064,2797634,0.6153846153846154,-0.6153846153846154,2024-08-21 18:30:27,十倍金牛,904,gfg_904101_1724236227816_108051,177.92.55.186,0.650000000000
3742447,40064,2797634,1.2307692307692308,-1.2307692307692308,2024-08-21 18:30:53,十倍金牛,904,gfg_904101_1724236253629_108051,177.92.55.186,0.650000000000
4000035,40253,4893201,1.2307692307692308,2.4615384615384617,2024-08-21 18:31:22,麻將胡了2,903,gfg_903101_1724236282822_108065,45.166.66.56,0.650000000000
4000035,40253,4893201,1.2307692307692308,0.0,2024-08-21 18:31:41,麻將胡了2,903,gfg_903101_1724236300990_108065,45.166.66.56,0.650000000000
4000035,40253,4893201,0.6153846153846154,-0.4,2024-08-21 18:31:54,麻將胡了2,903,gfg_903101_1724236313845_108065,45.166.66.56,0.650000000000
4000035,40253,4893201,0.6153846153846154,-0.6153846153846154,2024-08-21 18:32:06,麻將胡了2,903,gfg_903101_1724236326232_108065,45.166.66.56,0.650000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:32:26,虎虎生财,901,gfg_901101_1724236346322_108085,112.198.66.95,10.000000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:32:41,虎虎生财,901,gfg_901101_1724236360842_108085,112.198.66.95,10.000000000000
1155133,5069,2010892,1.0,-1.0,2024-08-21 18:33:11,炸金花,12,ld_12101_1724236377_3,118.124.243.221,1.000000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:33:17,虎虎生财,901,gfg_901101_1724236396912_108085,112.198.66.95,10.000000000000
4000035,40253,4893201,0.6153846153846154,-0.6153846153846154,2024-08-21 18:33:21,麻將胡了2,903,gfg_903101_1724236400985_108065,45.166.66.56,0.650000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:33:43,虎虎生财,901,gfg_901101_1724236423316_108085,112.198.66.95,10.000000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:34:46,虎虎生财,901,gfg_901101_1724236485774_108085,112.198.66.95,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:34:58,777,307,gfg_307101_1724236497997_108123,223.225.170.134,10.000000000000
4006997,40093,2806272,4.0,4.0,2024-08-21 18:35:00,777,307,gfg_307101_1724236500033_108123,223.225.170.134,10.000000000000
4007407,40056,2797610,0.5,-0.45,2024-08-21 18:35:05,罗马竞技场,311,gfg_311101_1724236504368_108131,49.144.10.88,10.000000000000
4007407,40056,2797610,0.5,-0.5,2024-08-21 18:35:11,罗马竞技场,311,gfg_311101_1724236510529_108131,49.144.10.88,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:35:23,777,307,gfg_307101_1724236522295_108123,223.225.170.134,10.000000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:35:29,虎虎生财,901,gfg_901101_1724236528313_108085,112.198.66.95,10.000000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:35:31,虎虎生财,901,gfg_901101_1724236530518_108085,112.198.66.95,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:35:33,777,307,gfg_307101_1724236532303_108123,223.225.170.134,10.000000000000
4007407,40056,2797610,0.5,-0.5,2024-08-21 18:35:38,罗马竞技场,311,gfg_311101_1724236537489_108131,49.144.10.88,10.000000000000
4007407,40056,2797610,0.5,-0.5,2024-08-21 18:35:45,罗马竞技场,311,gfg_311101_1724236544902_108131,49.144.10.88,10.000000000000
4007407,40056,2797610,0.5,-0.5,2024-08-21 18:35:48,罗马竞技场,311,gfg_311101_1724236547499_108131,49.144.10.88,10.000000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:35:50,虎虎生财,901,gfg_901101_1724236549502_108085,112.198.66.95,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:35:57,777,307,gfg_307101_1724236556474_108123,223.225.170.134,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:36:02,777,307,gfg_307101_1724236561957_108123,223.225.170.134,10.000000000000
4007678,40064,2797634,0.6153846153846154,17.846153846153847,2024-08-21 18:36:04,十倍金牛,904,gfg_904101_1724236563737_108141,177.74.215.117,0.650000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:36:10,虎虎生财,901,gfg_901101_1724236569467_108085,112.198.66.95,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:36:18,777,307,gfg_307101_1724236577925_108123,223.225.170.134,10.000000000000
4006997,40093,2806272,4.0,4.0,2024-08-21 18:36:21,777,307,gfg_307101_1724236580603_108123,223.225.170.134,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:36:31,777,307,gfg_307101_1724236590526_108123,223.225.170.134,10.000000000000
4007407,40056,2797610,0.5,4.025,2024-08-21 18:36:32,罗马竞技场,311,gfg_311101_1724236591740_108131,49.144.10.88,10.000000000000
4006997,40093,2806272,4.0,4.0,2024-08-21 18:36:47,777,307,gfg_307101_1724236607162_108123,223.225.170.134,10.000000000000
4007407,40056,2797610,0.5,-0.5,2024-08-21 18:36:53,罗马竞技场,311,gfg_311101_1724236612499_108131,49.144.10.88,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:36:57,777,307,gfg_307101_1724236616530_108123,223.225.170.134,10.000000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:36:59,十倍金牛,904,gfg_904101_1724236619206_108149,112.198.66.95,10.000000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:37:05,777,307,gfg_307101_1724236625170_108123,223.225.170.134,10.000000000000
4006997,40093,2806272,4.0,4.0,2024-08-21 18:37:08,777,307,gfg_307101_1724236627430_108123,223.225.170.134,10.000000000000
3999850,40153,3858739,1.0,-1.0,2024-08-21 18:37:10,十倍金牛,904,gfg_904101_1724236629667_108149,112.198.66.95,10.000000000000
4006997,40093,2806272,4.0,20.0,2024-08-21 18:37:12,777,307,gfg_307101_1724236631473_108123,223.225.170.134,10.000000000000
4007407,40056,2797610,0.5,5.5,2024-08-21 18:37:13,罗马竞技场,311,gfg_311101_1724236632892_108131,49.144.10.88,10.000000000000
4007678,40064,2797634,0.6153846153846154,-0.6153846153846154,2024-08-21 18:37:17,十倍金牛,904,gfg_904101_1724236636280_108141,177.74.215.117,0.650000000000
4006997,40093,2806272,4.0,-4.0,2024-08-21 18:37:20,777,307,gfg_307101_1724236639912_108123,223.225.170.134,10.000000000000
