uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
1843018,5133,2247092,1.0,39.6,2024-08-21 14:33:20,超级王牌,320,gfg_320101_1724222000503_105621,183.171.121.77,1.000000000000
4001423,40153,3858739,5.0,-5.0,2024-08-21 14:33:57,超级王牌,320,gfg_320101_1724222037573_105629,216.247.80.121,10.000000000000
4001423,40153,3858739,5.0,-4.75,2024-08-21 14:34:01,超级王牌,320,gfg_320101_1724222041649_105629,216.247.80.121,10.000000000000
4001423,40153,3858739,5.0,-5.0,2024-08-21 14:34:18,超级王牌,320,gfg_320101_1724222058354_105629,216.247.80.121,10.000000000000
4001423,40153,3858739,5.0,-4.25,2024-08-21 14:34:22,超级王牌,320,gfg_320101_1724222061900_105629,216.247.80.121,10.000000000000
4001423,40153,3858739,5.0,-0.5,2024-08-21 14:34:35,超级王牌,320,gfg_320101_1724222074743_105629,216.247.80.121,10.000000000000
4001423,40153,3858739,5.0,-5.0,2024-08-21 14:34:52,超级王牌,320,gfg_320101_1724222091827_105629,216.247.80.121,10.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:34:54,超级王牌,320,gfg_320101_1724222094053_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-0.45,2024-08-21 14:35:15,超级王牌,320,gfg_320101_1724222115095_105621,183.171.121.77,1.000000000000
4001423,40153,3858739,5.0,-5.0,2024-08-21 14:35:22,超级王牌,320,gfg_320101_1724222122123_105629,216.247.80.121,10.000000000000
4001423,40153,3858739,5.0,151.75,2024-08-21 14:36:02,超级王牌,320,gfg_320101_1724222162279_105629,216.247.80.121,10.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:37:01,超级王牌,320,gfg_320101_1724222221096_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,0.35,2024-08-21 14:37:34,超级王牌,320,gfg_320101_1724222254370_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:38:52,超级王牌,320,gfg_320101_1724222332379_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-0.8,2024-08-21 14:38:55,超级王牌,320,gfg_320101_1724222335436_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-0.95,2024-08-21 14:39:10,超级王牌,320,gfg_320101_1724222350049_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,1.3,2024-08-21 14:39:46,超级王牌,320,gfg_320101_1724222385595_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:40:22,超级王牌,320,gfg_320101_1724222421675_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:40:41,超级王牌,320,gfg_320101_1724222440967_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-0.95,2024-08-21 14:41:05,超级王牌,320,gfg_320101_1724222464727_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:41:16,超级王牌,320,gfg_320101_1724222476351_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:41:37,超级王牌,320,gfg_320101_1724222496853_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:41:40,超级王牌,320,gfg_320101_1724222499925_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:42:38,超级王牌,320,gfg_320101_1724222557597_105621,183.171.121.77,1.000000000000
3930831,40118,2932763,40.0,-40.0,2024-08-21 14:44:26,亡灵大盗,802,1728665724802101541,37.186.64.114,5.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:44:28,超级王牌,320,gfg_320101_1724222668090_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:44:36,超级王牌,320,gfg_320101_1724222676209_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:44:47,超级王牌,320,gfg_320101_1724222686497_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-0.95,2024-08-21 14:45:53,超级王牌,320,gfg_320101_1724222752877_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:46:01,超级王牌,320,gfg_320101_1724222760855_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:46:12,超级王牌,320,gfg_320101_1724222771883_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-0.1,2024-08-21 14:46:27,超级王牌,320,gfg_320101_1724222787008_105621,183.171.121.77,1.000000000000
3930831,40118,2932763,40.0,-40.0,2024-08-21 14:46:54,亡灵大盗,802,1725813724802101903,37.186.64.114,5.000000000000
1843018,5133,2247092,1.0,-0.9,2024-08-21 14:46:55,超级王牌,320,gfg_320101_1724222814617_105621,183.171.121.77,1.000000000000
3930831,40118,2932763,40.0,-40.0,2024-08-21 14:47:16,亡灵大盗,802,1726836724802101095,37.186.64.114,5.000000000000
3930831,40118,2932763,40.0,-40.0,2024-08-21 14:47:19,亡灵大盗,802,1720838724802101629,37.186.64.114,5.000000000000
1843018,5133,2247092,1.0,0.0,2024-08-21 14:47:27,超级王牌,320,gfg_320101_1724222847462_105621,183.171.121.77,1.000000000000
3930831,40118,2932763,40.0,-40.0,2024-08-21 14:47:42,亡灵大盗,802,1721862724802101225,37.186.64.114,5.000000000000
3930831,40118,2932763,40.0,-40.0,2024-08-21 14:48:08,亡灵大盗,802,1723888724802101255,37.186.64.114,5.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:48:15,超级王牌,320,gfg_320101_1724222895574_105621,183.171.121.77,1.000000000000
1843018,5133,2247092,1.0,-1.0,2024-08-21 14:48:18,超级王牌,320,gfg_320101_1724222898601_105621,183.171.121.77,1.000000000000
3930831,40118,2932763,40.0,-40.0,2024-08-21 14:48:23,亡灵大盗,802,1726902724802101989,37.186.64.114,5.000000000000
3930831,40118,2932763,40.0,-40.0,2024-08-21 14:48:28,亡灵大盗,802,1728908724802101348,37.186.64.114,5.000000000000
