uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
4004644,40064,2797634,1.2307692307692308,-1.2307692307692308,2024-08-21 14:49:22,十倍金牛,904,gfg_904101_1724222962045_105776,179.84.208.71,0.650000000000
4004644,40064,2797634,1.2307692307692308,-1.2307692307692308,2024-08-21 14:49:40,十倍金牛,904,gfg_904101_1724222980670_105776,179.84.208.71,0.650000000000
4004644,40064,2797634,1.2307692307692308,-0.8615384615384616,2024-08-21 14:49:41,十倍金牛,904,gfg_904101_1724222981845_105776,179.84.208.71,0.650000000000
1182253,5009,1582006,5.0,-5.0,2024-08-21 14:35:28,炸金花,12,bp_12102_1724222119_1,223.240.138.253,1.000000000000
1182253,5009,1582006,5.0,-5.0,2024-08-21 14:37:40,炸金花,12,bp_12102_1724222251_1,223.240.138.253,1.000000000000
1182253,5009,1582006,5.0,-5.0,2024-08-21 14:39:32,炸金花,12,bp_12102_1724222361_1,223.240.138.253,1.000000000000
1035485,5069,2010892,5.0,-5.0,2024-08-21 14:41:53,炸金花,12,bp_12102_1724222507_1,49.118.203.124,1.000000000000
1182253,5009,1582006,185.0,318.25,2024-08-21 14:44:51,炸金花,12,bp_12102_1724222661_1,223.240.138.253,1.000000000000
1035485,5069,2010892,1.0,-1.0,2024-08-21 14:46:21,炸金花,12,ld_12101_1724222776_1,49.118.203.124,1.000000000000
1035485,5069,2010892,1.0,-1.0,2024-08-21 14:51:42,炸金花,12,ld_12101_1724223093_1,49.118.203.124,1.000000000000
1182253,5009,1582006,5.0,-5.0,2024-08-21 14:39:45,炸金花,12,bp_12102_1724222376_2,223.240.138.253,1.000000000000
1035485,5069,2010892,5.0,-5.0,2024-08-21 14:42:03,炸金花,12,bp_12102_1724222516_2,49.118.203.124,1.000000000000
1182253,5009,1582006,1.0,-1.0,2024-08-21 14:45:23,炸金花,12,ld_12101_1724222713_2,223.240.138.253,1.000000000000
1182253,5009,1582006,20.0,-20.0,2024-08-21 14:46:21,炸金花,12,a9_12103_1724222772_2,223.240.138.253,1.000000000000
1182253,5009,1582006,20.0,-20.0,2024-08-21 14:46:54,炸金花,12,a9_12103_1724222799_2,223.240.138.253,1.000000000000
3993996,5080,2061061,6.0,-6.0,2024-08-21 15:01:36,金蟾捕鱼,201,gfg_201102_1724223695464_11925,112.97.65.26,1.000000000000
4004790,40064,2797634,1.5384615384615383,-1.5384615384615383,2024-08-21 15:01:53,超级王牌,320,gfg_320101_1724223712904_105874,170.81.180.198,0.650000000000
3993996,5080,2061061,7.0,23.0,2024-08-21 15:01:57,金蟾捕鱼,201,gfg_201102_1724223716464_11925,112.97.65.26,1.000000000000
4004790,40064,2797634,1.5384615384615383,-1.5384615384615383,2024-08-21 15:01:57,超级王牌,320,gfg_320101_1724223717027_105874,170.81.180.198,0.650000000000
3993996,5080,2061061,5.0,-5.0,2024-08-21 15:02:09,金蟾捕鱼,201,gfg_201102_1724223728437_11925,112.97.65.26,1.000000000000
3993996,5080,2061061,8.0,-8.0,2024-08-21 15:02:48,金蟾捕鱼,201,gfg_201102_1724223767438_11925,112.97.65.26,1.000000000000
3993996,5080,2061061,26.0,-18.0,2024-08-21 15:02:51,金蟾捕鱼,201,gfg_201102_1724223770438_11925,112.97.65.26,1.000000000000
4004790,40064,2797634,1.5384615384615383,-1.5384615384615383,2024-08-21 15:02:59,超级王牌,320,gfg_320101_1724223779068_105874,170.81.180.198,0.650000000000
4004790,40064,2797634,1.5384615384615383,79.38461538461539,2024-08-21 15:03:02,超级王牌,320,gfg_320101_1724223782086_105874,170.81.180.198,0.650000000000
3993996,5080,2061061,16.0,-16.0,2024-08-21 15:03:06,金蟾捕鱼,201,gfg_201102_1724223785438_11925,112.97.65.26,1.000000000000
