uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
3871683,5069,2010892,3.6,-3.6,2024-08-21 15:07:03,麻將胡了2,903,gfg_903101_1724224023579_105885,223.74.206.56,1.000000000000
3871683,5069,2010892,3.6,-2.52,2024-08-21 15:07:07,麻將胡了2,903,gfg_903101_1724224027026_105885,223.74.206.56,1.000000000000
3871683,5069,2010892,3.6,30.6,2024-08-21 15:07:10,麻將胡了2,903,gfg_903101_1724224030062_105885,223.74.206.56,1.000000000000
3871683,5069,2010892,3.6,-3.6,2024-08-21 15:07:17,麻將胡了2,903,gfg_903101_1724224037035_105885,223.74.206.56,1.000000000000
857811,5143,2247099,0.2,-0.2,2024-08-21 15:07:18,超级王牌,320,gfg_320101_1724224038758_105455,171.6.225.168,5.000000000000
3871683,5069,2010892,3.6,-3.6,2024-08-21 15:07:19,麻將胡了2,903,gfg_903101_1724224038964_105885,223.74.206.56,1.000000000000
3997029,40240,4607576,100.0,-50.0,2024-08-21 15:07:26,麻將胡了2,803,1729046496803101706,47.57.191.61,0.150000000000
3598114,40064,2797634,2.4615384615384617,-2.4615384615384617,2024-08-21 15:07:28,财神捕鱼,202,gfg_202101_1724224048801_11930,104.28.63.107,0.650000000000
3871683,5069,2010892,3.6,-3.6,2024-08-21 15:07:30,麻將胡了2,903,gfg_903101_1724224050617_105885,223.74.206.56,1.000000000000
3598114,40064,2797634,10.461538461538462,-10.461538461538462,2024-08-21 15:07:31,财神捕鱼,202,gfg_202101_1724224051801_11930,104.28.63.107,0.650000000000
3871683,5069,2010892,3.6,-3.6,2024-08-21 15:07:32,麻將胡了2,903,gfg_903101_1724224051945_105885,223.74.206.56,1.000000000000
3997029,40240,4607576,100.0,-100.0,2024-08-21 15:07:37,麻將胡了2,803,1724057496803101365,47.57.191.61,0.150000000000
3856120,5032,1797652,0.5,-0.5,2024-08-21 15:07:38,麻将无双,305,gfg_305101_1724224058886_105711,158.62.56.83,10.000000000000
857811,5143,2247099,0.2,-0.2,2024-08-21 15:07:38,超级王牌,320,gfg_320101_1724224058131_105455,171.6.225.168,5.000000000000
3871683,5069,2010892,3.6,-3.6,2024-08-21 15:07:45,麻將胡了2,903,gfg_903101_1724224065806_105885,223.74.206.56,1.000000000000
