uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
838867,5098,2164904,4.0,8.0,2024-09-21 14:35:19,神龙捕鱼,203,gfg_203101_1726900518767_24374,119.143.214.25,1.000000000000
838867,5098,2164904,2.0,-2.0,2024-09-21 14:35:25,神龙捕鱼,203,gfg_203101_1726900524767_24374,119.143.214.25,1.000000000000
838867,5098,2164904,4.0,-4.0,2024-09-21 14:35:28,神龙捕鱼,203,gfg_203101_1726900527767_24374,119.143.214.25,1.000000000000
838867,5098,2164904,4.0,-4.0,2024-09-21 14:35:37,神龙捕鱼,203,gfg_203101_1726900536767_24374,119.143.214.25,1.000000000000
838867,5098,2164904,2.0,-2.0,2024-09-21 14:35:43,神龙捕鱼,203,gfg_203101_1726900542767_24374,119.143.214.25,1.000000000000
838867,5098,2164904,1.0,-1.0,2024-09-21 14:35:58,神龙捕鱼,203,gfg_203101_1726900557767_24374,119.143.214.25,1.000000000000
838867,5098,2164904,1.8,-1.8,2024-09-21 14:36:22,神龙捕鱼,203,gfg_203101_1726900582692_24374,119.143.214.25,1.000000000000
838867,5098,2164904,0.6,-0.6,2024-09-21 14:36:25,神龙捕鱼,203,gfg_203101_1726900585670_24374,119.143.214.25,1.000000000000
838867,5098,2164904,5.0,15.0,2024-09-21 14:42:11,神龙捕鱼,203,gfg_203101_1726900931527_24412,119.143.214.25,1.000000000000
838867,5098,2164904,20.0,15.0,2024-09-21 14:42:32,神龙捕鱼,203,gfg_203101_1726900952526_24412,119.143.214.25,1.000000000000
838867,5098,2164904,1.5,-1.5,2024-09-21 14:42:53,神龙捕鱼,203,gfg_203101_1726900973526_24412,119.143.214.25,1.000000000000
838867,5098,2164904,2.0,-2.0,2024-09-21 14:42:56,神龙捕鱼,203,gfg_203101_1726900976526_24412,119.143.214.25,1.000000000000
838867,5098,2164904,2.5,-2.5,2024-09-21 14:43:05,神龙捕鱼,203,gfg_203101_1726900985526_24412,119.143.214.25,1.000000000000
4496103,40241,4420923,0.6,1.8239999999999998,2024-09-21 14:27:49,罗马竞技场,311,gfg_311101_1726900069239_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,0.6,-0.6,2024-09-21 14:27:58,罗马竞技场,311,gfg_311101_1726900078218_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,0.6,-0.36,2024-09-21 14:28:31,罗马竞技场,311,gfg_311101_1726900110877_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,0.6,-0.6,2024-09-21 14:28:46,罗马竞技场,311,gfg_311101_1726900126658_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:29:02,罗马竞技场,311,gfg_311101_1726900142309_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-0.6799999999999999,2024-09-21 14:29:12,罗马竞技场,311,gfg_311101_1726900152172_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:29:20,罗马竞技场,311,gfg_311101_1726900160203_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:29:23,罗马竞技场,311,gfg_311101_1726900163161_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:31:18,罗马竞技场,311,gfg_311101_1726900277549_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:31:25,罗马竞技场,311,gfg_311101_1726900284839_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-0.8400000000000001,2024-09-21 14:31:48,罗马竞技场,311,gfg_311101_1726900307521_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:31:54,罗马竞技场,311,gfg_311101_1726900314039_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:32:13,罗马竞技场,311,gfg_311101_1726900332777_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:32:20,罗马竞技场,311,gfg_311101_1726900339746_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:32:39,罗马竞技场,311,gfg_311101_1726900358942_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:32:59,罗马竞技场,311,gfg_311101_1726900379069_223868,58.10.0.242,5.000000000000
4496103,40241,4420923,1.0,-1.0,2024-09-21 14:33:17,罗马竞技场,311,gfg_311101_1726900396534_223868,58.10.0.242,5.000000000000
838867,5098,2164904,0.4,-0.4,2024-09-21 14:34:20,神龙捕鱼,203,gfg_203101_1726900460036_24371,119.143.214.25,1.000000000000
838867,5098,2164904,0.1,-0.1,2024-09-21 14:34:23,神龙捕鱼,203,gfg_203101_1726900463036_24371,119.143.214.25,1.000000000000
838867,5098,2164904,0.9,-0.9,2024-09-21 14:34:29,神龙捕鱼,203,gfg_203101_1726900469036_24371,119.143.214.25,1.000000000000
838867,5098,2164904,0.4,-0.4,2024-09-21 14:34:35,神龙捕鱼,203,gfg_203101_1726900475036_24371,119.143.214.25,1.000000000000
838867,5098,2164904,1.2,-1.2,2024-09-21 14:34:38,神龙捕鱼,203,gfg_203101_1726900478036_24371,119.143.214.25,1.000000000000
838867,5098,2164904,5.0,-5.0,2024-09-21 14:39:54,神龙捕鱼,203,gfg_203101_1726900794440_24391,119.143.214.25,1.000000000000
838867,5098,2164904,0.6,-0.6,2024-09-21 14:40:33,神龙捕鱼,203,gfg_203101_1726900833369_24391,119.143.214.25,1.000000000000
838867,5098,2164904,1.4,-1.4,2024-09-21 14:40:39,神龙捕鱼,203,gfg_203101_1726900839370_24391,119.143.214.25,1.000000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:49:32,虎虎生财,901,gfg_901101_1726901372255_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:49:40,虎虎生财,901,gfg_901101_1726901379873_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:49:42,虎虎生财,901,gfg_901101_1726901381609_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,0.4615384615384615,2024-09-21 14:50:18,虎虎生财,901,gfg_901101_1726901417566_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,3.0769230769230766,2024-09-21 14:50:21,虎虎生财,901,gfg_901101_1726901421047_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:50:57,虎虎生财,901,gfg_901101_1726901456734_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:51:05,虎虎生财,901,gfg_901101_1726901464250_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:51:08,虎虎生财,901,gfg_901101_1726901467505_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:51:11,虎虎生财,901,gfg_901101_1726901470660_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:52:31,虎虎生财,901,gfg_901101_1726901550363_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:52:37,虎虎生财,901,gfg_901101_1726901556227_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:52:38,虎虎生财,901,gfg_901101_1726901557798_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,0.923076923076923,2024-09-21 14:52:51,虎虎生财,901,gfg_901101_1726901571016_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:53:19,虎虎生财,901,gfg_901101_1726901598370_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:53:22,虎虎生财,901,gfg_901101_1726901601632_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,14.615384615384615,2024-09-21 14:53:37,虎虎生财,901,gfg_901101_1726901616348_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-09-21 14:53:49,虎虎生财,901,gfg_901101_1726901629042_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,0.7692307692307692,0.4615384615384615,2024-09-21 14:53:55,虎虎生财,901,gfg_901101_1726901634182_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,1.5384615384615383,-1.5384615384615383,2024-09-21 14:53:58,虎虎生财,901,gfg_901101_1726901638142_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,1.5384615384615383,13.846153846153845,2024-09-21 14:54:00,虎虎生财,901,gfg_901101_1726901639768_224336,152.255.106.92,0.650000000000
4392789,40064,2797634,1.5384615384615383,-0.6153846153846154,2024-09-21 14:54:29,虎虎生财,901,gfg_901101_1726901669226_224336,152.255.106.92,0.650000000000
